 Afghanistan |         43        0.56        0.56
        Albania |         43        0.56        1.12
        Algeria |         43        0.56        1.68
         Angola |         43        0.56        2.25
      Argentina |         43        0.56        2.81
        Armenia |         43        0.56        3.37
      Australia |         43        0.56        3.93
        Austria |         43        0.56        4.49
     Azerbaijan |         43        0.56        5.05
        Bahamas |         43        0.56        5.61
        Bahrain |         43        0.56        6.17
     Bangladesh |         43        0.56        6.74
       Barbados |         43        0.56        7.30
        Belarus |         43        0.56        7.86
        Belgium |         43        0.56        8.42
         Belize |         43        0.56        8.98
          Benin |         43        0.56        9.54
         Bhutan |         43        0.56       10.10
        Bolivia |         43        0.56       10.66
    Bosnia-Herz |         43        0.56       11.23
       Botswana |         43        0.56       11.79
         Brazil |         43        0.56       12.35
         Brunei |         43        0.56       12.91
       Bulgaria |         43        0.56       13.47
   Burkina Faso |         43        0.56       14.03
        Burundi |         43        0.56       14.59
   C. Verde Is. |         43        0.56       15.15
       Cambodia |         43        0.56       15.72
       Cameroon |         43        0.56       16.28
         Canada |         43        0.56       16.84
 Cent. Af. Rep. |         43        0.56       17.40
           Chad |         43        0.56       17.96
          Chile |         43        0.56       18.52
       Colombia |         43        0.56       19.08
     Comoro Is. |         43        0.56       19.64
          Congo |         43        0.56       20.21
    Congo (DRC) |         43        0.56       20.77
     Costa Rica |         43        0.56       21.33
  Cote d'Ivoire |         43        0.56       21.89
        Croatia |         43        0.56       22.45
           Cuba |         43        0.56       23.01
         Cyprus |         43        0.56       23.57
     Czech Rep. |         43        0.56       24.14
        Denmark |         43        0.56       24.70
       Djibouti |         43        0.56       25.26
      Dom. Rep. |         43        0.56       25.82
        Ecuador |         43        0.56       26.38
          Egypt |         43        0.56       26.94
    El Salvador |         43        0.56       27.50
     Eq. Guinea |         43        0.56       28.06
        Eritrea |         43        0.56       28.63
        Estonia |         43        0.56       29.19
       Ethiopia |         43        0.56       29.75
    FRG/Germany |         43        0.56       30.31
           Fiji |         43        0.56       30.87
        Finland |         43        0.56       31.43
         France |         43        0.56       31.99
            GDR |         43        0.56       32.55
          Gabon |         43        0.56       33.12
         Gambia |         43        0.56       33.68
        Georgia |         43        0.56       34.24
          Ghana |         43        0.56       34.80
         Greece |         43        0.56       35.36
        Grenada |         43        0.56       35.92
      Guatemala |         43        0.56       36.48
         Guinea |         43        0.56       37.04
  Guinea-Bissau |         43        0.56       37.61
         Guyana |         43        0.56       38.17
          Haiti |         43        0.56       38.73
       Honduras |         43        0.56       39.29
        Hungary |         43        0.56       39.85
        Iceland |         43        0.56       40.41
          India |         43        0.56       40.97
      Indonesia |         43        0.56       41.54
           Iran |         43        0.56       42.10
           Iraq |         43        0.56       42.66
        Ireland |         43        0.56       43.22
         Israel |         43        0.56       43.78
          Italy |         43        0.56       44.34
        Jamaica |         43        0.56       44.90
          Japan |         43        0.56       45.46
         Jordan |         43        0.56       46.03
     Kazakhstan |         43        0.56       46.59
          Kenya |         43        0.56       47.15
         Kuwait |         43        0.56       47.71
     Kyrgyzstan |         43        0.56       48.27
           Laos |         43        0.56       48.83
         Latvia |         43        0.56       49.39
        Lebanon |         43        0.56       49.95
        Lesotho |         43        0.56       50.52
        Liberia |         43        0.56       51.08
          Libya |         43        0.56       51.64
      Lithuania |         43        0.56       52.20
     Luxembourg |         43        0.56       52.76
