        ARG |          9        2.21        2.21
        AUS |          9        2.21        4.42
        AUT |          9        2.21        6.63
        BEL |          9        2.21        8.85
        BRA |          9        2.21       11.06
        CAN |          9        2.21       13.27
        CHE |          9        2.21       15.48
        CHL |          9        2.21       17.69
        CHN |          9        2.21       19.90
        COL |          9        2.21       22.11
        CRI |          5        1.23       23.34
        CZE |          9        2.21       25.55
        DEU |          9        2.21       27.76
        DNK |          9        2.21       29.98
        ESP |          9        2.21       32.19
        EST |          9        2.21       34.40
        FIN |          9        2.21       36.61
        FRA |          9        2.21       38.82
        GBR |          9        2.21       41.03
        GRC |          9        2.21       43.24
        HUN |          9        2.21       45.45
        IDN |          8        1.97       47.42
        IND |          9        2.21       49.63
        IRL |          9        2.21       51.84
        ISL |          8        1.97       53.81
        ISR |          9        2.21       56.02
        ITA |          9        2.21       58.23
        JPN |          9        2.21       60.44
        KOR |          9        2.21       62.65
        LTU |          9        2.21       64.86
        LUX |          9        2.21       67.08
        LVA |          9        2.21       69.29
        MEX |          9        2.21       71.50
        NLD |          9        2.21       73.71
        NOR |          9        2.21       75.92
        NZL |          9        2.21       78.13
        POL |          9        2.21       80.34
        PRT |          9        2.21       82.56
        RUS |          9        2.21       84.77
        SAU |          9        2.21       86.98
        SVK |          9        2.21       89.19
        SVN |          9        2.21       91.40
        SWE |          9        2.21       93.61
        TUR |          9        2.21       95.82
        USA |          9        2.21       98.03
        ZAF |          8        1.97      100.00
