                Albania |         77        0.52        0.52
              Argentina |         77        0.52        1.03
             Bangladesh |         77        0.52        1.55
               Barbados |         77        0.52        2.07
               Cameroon |         77        0.52        2.58
               Colombia |         77        0.52        3.10
                Ecuador |         77        0.52        3.61
                Finland |         77        0.52        4.13
                 France |         77        0.52        4.65
               Kiribati |         77        0.52        5.16
                  Korea |         77        0.52        5.68
                  Palau |         77        0.52        6.20
                  Samoa |         77        0.52        6.71
              Singapore |         77        0.52        7.23
                  Spain |         77        0.52        7.74
            Afghanistan |         77        0.52        8.26
                Algeria |         77        0.52        8.78
                 Angola |         77        0.52        9.29
               Anguilla |         77        0.52        9.81
                Armenia |         77        0.52       10.33
                  Aruba |         77        0.52       10.84
              Australia |         77        0.52       11.36
                Austria |         77        0.52       11.87
                Belarus |         77        0.52       12.39
                Belgium |         77        0.52       12.91
                 Belize |         77        0.52       13.42
                  Benin |         77        0.52       13.94
                Bermuda |         77        0.52       14.46
                 Bhutan |         77        0.52       14.97
                Bolivia |         77        0.52       15.49
               Botswana |         77        0.52       16.00
                 Brazil |         77        0.52       16.52
               Bulgaria |         77        0.52       17.04
                Burundi |         77        0.52       17.55
               Cambodia |         77        0.52       18.07
                 Canada |         77        0.52       18.59
                   Chad |         77        0.52       19.10
                  Chile |         77        0.52       19.62
              China, PR |         77        0.52       20.13
                Comoros |         77        0.52       20.65
                Croatia |         77        0.52       21.17
                Curacao |         77        0.52       21.68
                 Cyprus |         77        0.52       22.20
                Denmark |         77        0.52       22.72
               Djibouti |         77        0.52       23.23
               Dominica |         77        0.52       23.75
                  Egypt |         77        0.52       24.26
                Eritrea |         77        0.52       24.78
                Estonia |         77        0.52       25.30
               Ethiopia |         77        0.52       25.81
                   Fiji |         77        0.52       26.33
                  Gabon |         77        0.52       26.85
                Georgia |         77        0.52       27.36
                Germany |         77        0.52       27.88
                  Ghana |         77        0.52       28.39
                 Greece |         77        0.52       28.91
                Grenada |         77        0.52       29.43
              Guatemala |         77        0.52       29.94
                 Guinea |         77        0.52       30.46
                 Guyana |         77        0.52       30.98
                  Haiti |         77        0.52       31.49
               Honduras |         77        0.52       32.01
                Hungary |         77        0.52       32.52
                Iceland |         77        0.52       33.04
                  India |         77        0.52       33.56
              Indonesia |         77        0.52       34.07
                   Iran |         77        0.52       34.59
                   Iraq |         77        0.52       35.11
                Ireland |         77        0.52       35.62
                 Israel |         77        0.52       36.14
                 Italy  |         77        0.52       36.65
                Jamaica |         77        0.52       37.17
                  Japan |         77        0.52       37.69
                 Jordan |         77        0.52       38.20
             Kazakhstan |         77        0.52       38.72
                  Kenya |         77        0.52       39.24
                 Kuwait |         77        0.52       39.75
                 Latvia |         77        0.52       40.27
                Lebanon |         77        0.52       40.78
                Lesotho |         77        0.52       41.30
                Liberia |         77        0.52       41.82
                  Libya |         77        0.52       42.33
          Liechtesntein |         77        0.52       42.85
              Lithuania |         77        0.52       43.37
             Luxembourg |         77        0.52       43.88
                  Macao |         77        0.52       44.40
             Madagascar |         77        0.52       44.91
                 Malawi |         77        0.52       45.43
               Malaysia |         77        0.52       45.95
               Maldives |         77        0.52       46.46
                   Mali |         77        0.52       46.98
                  Malta |         77        0.52       47.50
             Mauritania |         77        0.52       48.01
              Mauritius |         77        0.52       48.53
                 Mexico |         77        0.52       49.04
             Micronesia |         77        0.52       49.56
                Moldova |         77        0.52       50.08
                 Monaco |         77        0.52       50.59
               Mongolia |         77        0.52       51.11
             Montenegro |         77        0.52       51.63
                Morocco |         77        0.52       52.14
             Mozambique |         77        0.52       52.66
                Myanmar |         77        0.52       53.17
                Namibia |         77        0.52       53.69
                  Nepal |         77        0.52       54.21
            Netherlands |         77        0.52       54.72
              Nicaragua |         77        0.52       55.24
